Ensembl_gene_ID	HGNC_symbol
ENSRNOG00000054388	LOC120100184
ENSRNOG00000066887	LOC102556805
ENSRNOG00000053929	RNaseP_nuc
ENSRNOG00000030275	Or52s1
ENSRNOG00000018915	Tagap
ENSRNOG00000051409	LOC120100372
ENSRNOG00000020358	Ptov1
ENSRNOG00000068758	LOC120100151
ENSRNOG00000063955	LOC120100271
ENSRNOG00000064903	Apbh
ENSRNOG00000065819	LOC120100376
ENSRNOG00000054102	LOC120100468
ENSRNOG00000058869	AABR07006740.1
ENSRNOG00000064667	Tmem86b
ENSRNOG00000053502	Arhgef17
ENSRNOG00000065888	Rnu6-525
ENSRNOG00000021442	Hddc2
ENSRNOG00000064160	LOC120100091
ENSRNOG00000015785	Or52e3
ENSRNOG00000068866	LOC120100387
ENSRNOG00000014278	Zfp710
ENSRNOG00000049605	Zfp296
ENSRNOG00000024016	LOC120093077
ENSRNOG00000055316	Scarna15
ENSRNOG00000063802	LOC120100330
ENSRNOG00000057140	LOC120100172
ENSRNOG00000022921	Dact2
ENSRNOG00000054856	Or5bb12
ENSRNOG00000037360	AABR07003173.1
ENSRNOG00000015902	Cpxm2
ENSRNOG00000020624	Acadsb
ENSRNOG00000060363	Rnu6-946
ENSRNOG00000065994	LOC120100257
ENSRNOG00000058025	LOC120100414
ENSRNOG00000013981	Ptpn5
ENSRNOG00000021290	Or52e19
ENSRNOG00000019942	Fbxo17
ENSRNOG00000021912	Gpr152
ENSRNOG00000059083	LOC120100370
ENSRNOG00000059239	LOC120100361
ENSRNOG00000030818	C1h11orf42
ENSRNOG00000065632	LOC120100263
ENSRNOG00000062307	Vmn2r116l-ps24
ENSRNOG00000068808	LOC120100428
ENSRNOG00000056693	LOC120100267
ENSRNOG00000055223	LOC120100474
ENSRNOG00000017930	Lpcat1
ENSRNOG00000043280	Vom2r37
ENSRNOG00000065092	LOC120099108
ENSRNOG00000060826	Or52ab2
ENSRNOG00000066535	LOC120100459
ENSRNOG00000068810	Or5an9
ENSRNOG00000070274	Or14a258
ENSRNOG00000060965	LOC120100422
ENSRNOG00000052241	Rnu6-959
ENSRNOG00000058946	LOC120100377
ENSRNOG00000019869	Lrfn1
ENSRNOG00000068664	LOC120100410
ENSRNOG00000013208	Or9i14
ENSRNOG00000059321	LOC120100395
ENSRNOG00000052179	LOC120100397
ENSRNOG00000050189	Or52ab2b
ENSRNOG00000067212	LOC120100126
ENSRNOG00000055161	LOC120100394
ENSRNOG00000023411	Vsig10l
ENSRNOG00000046005	Scd2
ENSRNOG00000054718	LOC120100194
ENSRNOG00000018686	Atxn2l
ENSRNOG00000068139	Samd4b
ENSRNOG00000066980	Rnu6-317
ENSRNOG00000070788	Or10v9
ENSRNOG00000066529	LOC120100485
ENSRNOG00000058906	Ptprh
ENSRNOG00000066097	Rnu6-1001
ENSRNOG00000048810	Or52ab4
ENSRNOG00000053089	LOC120100352
ENSRNOG00000057890	Rnu4-5
ENSRNOG00000052503	Rnu6-81
ENSRNOG00000017408	Fhip1b
ENSRNOG00000037393	Wdr88
ENSRNOG00000021794	Znhit2
ENSRNOG00000070568	Vom2r3
ENSRNOG00000013949	Idh2
ENSRNOG00000064463	LOC120100124
ENSRNOG00000067383	LOC120100481
ENSRNOG00000052712	LOC120100455
ENSRNOG00000016103	Nkd2
ENSRNOG00000034012	Klk12
ENSRNOG00000065589	Rnu2-62
ENSRNOG00000068668	LOC120100405
ENSRNOG00000033164	Cyp2b3
ENSRNOG00000036811	Or52s20
ENSRNOG00000055001	Snora3
ENSRNOG00000020643	Bub3
ENSRNOG00000018217	Syt5
ENSRNOG00000058615	LOC120100182
